Manmino,English,Function,Origin,Korean,Japanese,Sanskrit,Chinese,Malaysian,Indonesian,Javanese,Tagalog,Khmer,Lao,Thai,Turkish,Arabic,Spanish,Portuguese,Mongolian,Vietnamese
dawdat,arrive,Action,Sinitic,,,,到達,,,,,,,,,,,,,
dawgu,tools,Objects and Concept,Sinitic,,,,道具,,,,,,,,,,,,,
dawlo,street; road; path,Objects and Concept,Sinitic,,,,道路,,,,,,,,,,,,,
dawmang,flee; run away; escape,Action,Sinitic,,,,逃亡,,,,,,,,,,,,,
day,big; large,Quality,Sinitic,,,,大,,,,,,,,,,,,,
day,wait,Action,Sinitic,,,,待,,,,,,,,,,,,,
daygun,archduke; prince consort; prince,Objects and Concept,Sinitic,,,,大君,,,,,,,,,,,,,
dayhak,college; university,Objects and Concept,Sinitic,,,,大學,,,,,,,,,,,,,
dayho,lake; inland sea,Objects and Concept,Sinitic,,,,大湖,,,,,,,,,,,,,
daysigwan,embassy,Objects and Concept,Sinitic,,,,大使館,,,,,,,,,,,,,
dek,like; as; (nominal adjective marker),Particle,Sinitic,,,,的,,,,,,,,,,,,,
dek-sap,adjective; quality,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
dekbet,particular; special,Quality,Sinitic,,,,特別,,,,,,,,,,,,,
denghwangsyek,orange (color),Quality,Sinitic,,,,橙黃色,,,,,,,,,,,,,
dengji,stop; end; cease; turn off,Action,Sinitic,,,,停止,,,,,,,,,,,,,
denba,electric waves,Objects and Concept,Sinitic,,,,電波,,,,,,,,,,,,,
deydey,younger brother,Objects and Concept,Sinitic,,,,弟弟,,,,,,,,,,,,,
digyu,earth (planet),Objects and Concept,Sinitic,,,,地球,,,,,,,,,,,,,
ding'in,cold; chilled,Quality,Austronesian,,,,,dingin,dingin,,,,,,,,,,,
dok,read,Action,Sinitic,,,,讀,,,,,,,,,,,,,
dokta,doctor; someone with a doctrate degree,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
dolong,mud; dirty,Quality,Koreo-Japonic,더러,どろ,,,,,,,,,,,,,,,
dong'i,to agree; to accept,Action,Sinitic,,,,同意,,,,,,,,,,,,,
dongdeng,same; equal,Quality,Sinitic,,,,同等,,,,,,,,,,,,,
